Date,Stock
2024-11-05,VIMTALABS
2024-11-05,RAMCOSYS
2024-11-05,AURUM
2024-11-06,ESTER
2024-11-06,COROMANDEL
2024-11-06,WANBURY
2024-11-06,AFFLE
2024-11-06,OFSS
2024-11-06,FIEMIND
2024-11-06,IMFA
2024-11-06,WELINV
2024-11-06,SBIETFIT
2024-11-06,AXISTECETF
2024-11-07,EIDPARRY
2024-11-08,HESTERBIO
2024-11-18,JPOLYINVST
2024-11-21,S&SPOWER
2024-11-21,JINDALPHOT
2024-11-21,EKC
2024-11-22,NAUKRI
2024-11-25,TIRUMALCHM
2024-11-25,AVROIND
2024-11-26,DELTAMAGNT
2024-11-26,PRAJIND
2024-11-26,CAPACITE
2024-11-26,OPTIEMUS
2024-11-26,MARINE
2024-11-26,RPSGVENT
2024-11-26,MONTECARLO
2024-11-27,TNIDETF
2024-11-27,SARLAPOLY
2024-11-27,SGIL
2024-11-27,TIMETECHNO
2024-11-27,SANSERA
2024-11-28,NAVA
2024-11-28,MANINFRA
2024-11-29,POLYCAB
2024-11-29,HEXATRADEX
2024-12-02,CHAMBLFERT
2024-12-02,KSL
2024-12-02,NELCO
2024-12-02,COSMOFIRST
2024-12-02,APOLLOHOSP
2024-12-02,PRICOLLTD
2024-12-02,ANANTRAJ
2024-12-02,HBLENGINE
2024-12-02,WANBURY
2024-12-02,ASHAPURMIN
2024-12-02,SETFNIFBK
2024-12-02,DSSL
2024-12-02,ASHOKA
2024-12-02,RPPINFRA
2024-12-03,DIACABS
2024-12-03,ULTRACEMCO
2024-12-03,NITINSPIN
2024-12-03,LTFOODS
2024-12-04,BANARISUG
2024-12-04,INDIAGLYCO
2024-12-04,HEG
2024-12-04,GOLDIAM
2024-12-04,LINCOLN
2024-12-05,BLUESTARCO
2024-12-05,INDIANCARD
2024-12-05,CNXSMALLCAP
2024-12-05,WELENT
2024-12-06,VEDL
2024-12-06,NIFTYCONSURDURBL
2024-12-06,GODREJAGRO
2024-12-06,ADSL
2024-12-09,ROTO
2024-12-09,TCPLPACK
2024-12-09,SUMIT
2024-12-09,WEL
2024-12-09,LUMAXTECH
2024-12-09,RELIGARE
2024-12-09,MAXIND
2024-12-10,HARRMALAYA
2024-12-10,GABRIEL
2024-12-10,MHLXMIRU
2024-12-10,ZOTA
2024-12-10,IIFLCAPS
2024-12-10,CANTABIL
2024-12-10,TBZ
2024-12-11,GIPCL
2024-12-11,NIFTY50VALUE20
2024-12-11,CHEMFAB
2024-12-12,HINDCOMPOS
2024-12-13,CENTUM
2024-12-13,STARCEMENT
2024-12-13,BHARTIARTL
2024-12-16,STOVEKRAFT
2024-12-23,LUPIN
2024-12-24,POWERINDIA
2024-12-26,CNXPHARMA
2024-12-26,SUNPHARMA
2024-12-30,WORTH
2024-12-31,APOLLO
2025-01-01,KAUSHALYA
2025-01-02,EICHERMOT
2025-01-09,SRF
2025-01-15,TCPLPACK
2025-01-15,CUBEXTUB
2025-01-20,AYMSYNTEX
2025-01-22,KHAITANLTD
2025-01-24,MPSLTD
2025-01-30,AMIORG
2025-01-31,DEEPINDS
2025-02-03,KAMATHOTEL
2025-02-05,KANPRPLA
2025-02-05,VIMTALABS
2025-02-06,DIVISLAB
